sepallength,sepalwidth,petallength,petalwidth,class
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Pequeno,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Médio,Grande,Pequeno,Pequeno,Iris-setosa
Médio,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Médio,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Médio,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Médio,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Pequeno,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Médio,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Pequeno,Grande,Pequeno,Pequeno,Iris-setosa
Grande,Médio,Médio,Médio,Iris-versicolor
Grande,Médio,Médio,Médio,Iris-versicolor
Grande,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Grande,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Grande,Médio,Médio,Iris-versicolor
Pequeno,Pequeno,Médio,Médio,Iris-versicolor
Grande,Pequeno,Médio,Médio,Iris-versicolor
Pequeno,Pequeno,Médio,Médio,Iris-versicolor
Pequeno,Pequeno,Médio,Médio,Iris-versicolor
Médio,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Grande,Médio,Médio,Médio,Iris-versicolor
Médio,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Médio,Médio,Grande,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Grande,Pequeno,Médio,Médio,Iris-versicolor
Grande,Médio,Médio,Médio,Iris-versicolor
Grande,Pequeno,Médio,Médio,Iris-versicolor
Grande,Médio,Grande,Grande,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Grande,Médio,Iris-versicolor
Pequeno,Médio,Médio,Médio,Iris-versicolor
Médio,Grande,Médio,Médio,Iris-versicolor
Grande,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Pequeno,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Médio,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Pequeno,Pequeno,Médio,Médio,Iris-versicolor
Médio,Pequeno,Médio,Médio,Iris-versicolor
Médio,Grande,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Pequeno,Pequeno,Médio,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Grande,Grande,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Grande,Grande,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Médio,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Pequeno,Médio,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Médio,Pequeno,Médio,Grande,Iris-virginica
Grande,Grande,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Pequeno,Médio,Grande,Iris-virginica
Médio,Médio,Médio,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Médio,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Grande,Grande,Grande,Grande,Iris-virginica
Grande,Pequeno,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Médio,Iris-virginica
Médio,Pequeno,Grande,Médio,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Grande,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Médio,Médio,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Grande,Grande,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Pequeno,Grande,Grande,Iris-virginica
Grande,Médio,Grande,Grande,Iris-virginica
Médio,Grande,Grande,Grande,Iris-virginica
Médio,Médio,Grande,Grande,Iris-virginica
